codigo_AMB_92;descricao_AMB_92;codigo_TUSS;descricao_TUSS;
10014;CONSULTA EM CONSULTORIO (NO HORARIO NORMAL OU PREESTABELECIDO);10101012;EM CONSULTORIO (NO HORARIO NORMAL OU PREESTABELECIDO);
10022;CONSULTA DOMICILIAR/HOSPITALAR;10101020;EM DOMICILIO;
10065;CONSULTA EM HOSPITAL PACIENTE INTERNADO;10101039;EM PRONTO SOCORRO;
10073;CONSULTA EM PRONTO SOCORRO OU HOSPITAL;10101039;EM PRONTO SOCORRO;
15130;FISIOTERAPIA DOMICILIAR (TELESP);10101160;SESSÃO DE TERAPIA OCUPACIONAL - 06 POR ANO;
20010;VISITA HOSPITALAR;10102019;VISITA HOSPITALAR (PACIENTE INTERNADO);
30015;ASSIST RN PARTO NORMAL(3 DIAS);10103015;ATENDIMENTO AO RECEM-NASCIDO EM BERCARIO;
30023;ASSIST RN CESARIA (5 DIAS);10103023;ATENDIMENTO AO RECEM-NASCIDO EM SALA DE PARTO (PARTO NORMAL OU OPERATORIO DE BAI;
30031;ASSIST RN PEDIATRA SALA PARTO;10103023;ATENDIMENTO AO RECEM-NASCIDO EM SALA DE PARTO (PARTO NORMAL OU OPERATORIO DE BAI;
40010;UTI-PLANTAO DOZE HORAS P/PAC.;10104020;ATENDIMENTO MEDICO DO INTENSIVISTA EM UTI GERAL OU PEDIATRICA (PLANTAO DE 12 HOR;
40029;UTI PEDIAT/NEONAT 12 HRS P/PAC;10104020;ATENDIMENTO MEDICO DO INTENSIVISTA EM UTI GERAL OU PEDIATRICA (PLANTAO DE 12 HOR;
49999;HON INTENSIVISTA NAO PLANTONISTA;49999;HON INTENSIVISTA NAO PLANTONISTA;
10104011;ATENDIMENTO DO ITENSIVISTA DIARISTA POR DIA E POR PACIENTE;10104011;ATENDIMENTO DO ITENSIVISTA DIARISTA POR DIA E POR PACIENTE;
12010014;ENTR INICIAIS ATE 3 SESSOES-ECONOMUS;20104219;SESSAO DE PSICOTERAPIA INDIVIDUAL;
12010030;PSICOTERAPIA EM GRUPO REAL MEDICO-FUNCEF;20104197;SESSAO DE PSICOTERAPIA DE CASAL;
12010049;PSICOTERAPIA IND REAL MEDICO - FUNCEF;20104227;SESSAO DE PSICOTERAPIA INFANTIL;
12020010;ELETROCONVULSOTERAPIA P/SESSAO ECONOMUS\;20105029;PERICIA PSIQUIATRICA ADMINISTRATIVA;
12020028;ELETROCONVULSOTERAPIA C/NARC.P/SES.ECONO;20105010;PERICIA FORENSE, POR PSIQUIATRA FORENSE;
15010015;DIALISE PERITONIAL -POR SESSAO;31008011;DIALISE PERITONEAL INTERMITENTE - AGUDO OU CRONICO (POR SESSAO);
15010023;HEMODIALISE POR SESSAO;30909139;HEMODEPURACAO DE CASOS AGUDOS (SESSAO HEMODIALISE, HEMOFILTRACAO, HEMODIAFILTRAC;
15010031;HEMOPERFUSAO (POR SESSAO);30909139;HEMODEPURACAO DE CASOS AGUDOS (SESSAO HEMODIALISE, HEMOFILTRACAO, HEMODIAFILTRAC;
15010040;PUNCAO BIOPSIA RENAL PER CUTAN;31101402;PUNCAO BIOPSIA RENAL PERCUTANEA;
15010058;HEMOFILTRACAO (POR SESSAO);30909139;HEMODEPURACAO DE CASOS AGUDOS (SESSAO HEMODIALISE, HEMOFILTRACAO, HEMODIAFILTRAC;
15010066;PLASMAFERESE (POR SESSAO);30909139;HEMODEPURACAO DE CASOS AGUDOS (SESSAO HEMODIALISE, HEMOFILTRACAO, HEMODIAFILTRAC;
15010074;IMPLANTE CAT VENOSO CENT P/HEM;30913012;IMPLANTE DE CATETER VENOSO CENTRAL POR PUNCAO, PARA NPP, QT, HEMODEPURACAO OU PA;
15020010;DIALISE PERITONIAL (POR SESSAO;31008011;DIALISE PERITONEAL INTERMITENTE - AGUDO OU CRONICO (POR SESSAO);
15020029;DIALISE PERIT CRONICA P/MES;31008038;DIALISE PERITONEAL AMBULATORIAL CONTINUA (CAPD) POR MES/PACIENTE;
15020037;HEMOSIALISE CRONICA P/SESSAO;30909031;HEMODIALISE CRONICA (POR SESSAO);
15020045;DIALISE PER AMB(CAPD)TREINAMEN;31008020;DIALISE PERITONEAL AMBULATORIAL CONTINUA (CAPD) 9 DIAS - TREINAMENTO;
